-56	0.993299544	0.0041558														
-48	0.9842	0.004063														
-47	0.997036488	0.00407394														
-45	0.988585547	0.004079877														
-39	1.004120285	0.004114681														
-34	0.986483474	0.004040659														
-31	0.988851079	0.004056501														
-28	1.003214536	0.004115759														
-24	1.004477668	0.004130575														
-19	1.013184151	0.004149059														
-14	1.01089938	0.0041219														
-12	1.008672244	0.004154676														
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
