-53	1.027016674	0.003237539														
-41	1.070215596	0.002867716														
-26	1.102087898	0.003114413														
-2	0.930449554	0.002709056														
7	0.912986272	0.002547162														
14	0.907510836	0.002686515														
22	0.900108267	0.002461442														
31	0.693504903	0.00247114														
42	0.919585767	0.002583079														
52	0.924684418	0.002828053														
-42	0.9149	0.0028														
-33	0.9572	0.0029														
-25	1.1037	0.003														
-19	1.1321	0.0036														
-13	1.1312	0.0031														
-8	1.0923	0.0034														
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
