-46	1.067	0.006
-45	1.085	0.008
-40	1.117	0.006
-35	1.118	0.006
-33	1.121	0.006
-30	1.139	0.006
-27	1.135	0.006
-23	1.111	0.006
-19	1.096	0.006
-14	1.019	0.006
-8	0.923	0.005
-3	0.91	0.005
-1	0.91	0.006
2	0.909	0.006
4	0.91	0.006
7	0.915	0.006
8	0.92	0.006
12	0.913	0.006
17	0.889	0.006
22	0.907	0.006
27	0.914	0.006
31	0.916	0.007
